# com1_x,com1_y,com1_x_dot,com1_y_dot,end1_x,end1_y,end1_x_dot,end1_y_dot,com2_x,com2_y,com2_x_dot,com2_y_dot,end2_x,end2_y,end2_x_dot,end2_y_dot,tau_force_1,tau_force_2,tau_grav_comp_1,tau_grav_comp_2
1.639992770032e-01,-4.869727172136e-04,-6.623446294448e-09,-2.230598070821e-06,3.279985540064e-01,-9.739454344272e-04,-1.324689258890e-08,-4.461196141642e-06,4.857990864312e-01,-8.910693285469e-03,6.357105332729e-07,8.441548060892e-06,6.435996188560e-01,-1.684744113651e-02,1.284667959135e-06,2.134429226343e-05,6.267521777195e-01,2.997275691475e-01,2.261470585328e+00,3.144399432839e-01
1.639992703646e-01,-4.892033152393e-04,2.405600160792e-10,8.064472559141e-08,3.279985407292e-01,-9.784066304786e-04,4.811200321584e-10,1.612894511828e-07,4.857997215839e-01,-8.902251710801e-03,-8.630363218831e-08,-1.567004860701e-06,6.436009024386e-01,-1.682609679112e-02,-1.730883844088e-07,-3.295299172586e-06,6.267748056475e-01,2.997546715488e-01,2.261471798602e+00,3.144412353725e-01
1.639992706051e-01,-4.891226705136e-04,2.254775880316e-08,7.560099378782e-06,3.279985412103e-01,-9.782453410273e-04,4.509551760632e-08,1.512019875756e-05,4.857996352708e-01,-8.903818715187e-03,6.276442165787e-08,1.547199316518e-05,6.436007293313e-01,-1.682939208935e-02,8.043332570942e-08,1.582378757280e-05,6.267713372419e-01,2.997510413727e-01,2.261471628508e+00,3.144410624227e-01
1.639992929786e-01,-4.815625706178e-04,-5.741043196087e-08,-1.955149927682e-05,3.279985859573e-01,-9.631251412356e-04,-1.148208639217e-07,-3.910299855365e-05,4.857996976863e-01,-8.888346720968e-03,-2.132889189394e-06,-7.928527258862e-05,6.436008094153e-01,-1.681356830070e-02,-4.150957514867e-06,-1.194675466236e-04,6.267872411146e-01,2.997517802986e-01,2.261471929337e+00,3.144410976297e-01
1.639992344028e-01,-5.011140664262e-04,3.269540413572e-08,1.070020102406e-05,3.279984688055e-01,-1.002228132852e-03,6.539080827144e-08,2.140040204813e-05,4.857975573503e-01,-8.967631729246e-03,7.977962364104e-07,3.590976213352e-05,6.435966458950e-01,-1.693303532564e-02,1.530201664549e-06,5.041912221891e-05,6.266636105693e-01,2.996673698967e-01,2.261467202432e+00,3.144370661481e-01
1.639992667491e-01,-4.904138643431e-04,-3.721464580547e-09,-1.244494715213e-06,3.279985334982e-01,-9.808277286862e-04,-7.442929161093e-09,-2.488989430427e-06,4.857983537813e-01,-8.931721931343e-03,4.781669541047e-07,7.148813608310e-06,6.435981740644e-01,-1.688261613400e-02,9.637768373705e-07,1.678661664705e-05,6.267155579304e-01,2.996978521609e-01,2.261469044546e+00,3.144385242406e-01
1.639992630229e-01,-4.916583590442e-04,-2.630821524084e-09,-8.775459283014e-07,3.279985260458e-01,-9.833167180884e-04,-5.261643048168e-09,-1.755091856603e-06,4.857988316445e-01,-8.924573102883e-03,-1.234883443852e-07,-4.104368683457e-06,6.435991372431e-01,-1.686582948768e-02,-2.417150457222e-07,-6.453645510311e-06,6.267333077555e-01,2.997180984277e-01,2.261469967368e+00,3.144394913007e-01
1.639992603897e-01,-4.925359049654e-04,6.354415215836e-08,2.115824217281e-05,3.279985207795e-01,-9.850718099309e-04,1.270883043167e-07,4.231648434563e-05,4.857987081340e-01,-8.928677470672e-03,9.549607295037e-07,5.876221810678e-05,6.435988954884e-01,-1.687228313141e-02,1.782833154691e-06,7.520795186793e-05,6.267266123570e-01,2.997131633875e-01,2.261469700489e+00,3.144392556824e-01
1.639993225690e-01,-4.713776587523e-04,-3.751865481021e-08,-1.305329995669e-05,3.279986451381e-01,-9.427553175045e-04,-7.503730962043e-08,-2.610659991338e-05,4.857996595080e-01,-8.869915201375e-03,-4.943106646321e-07,-3.445281238902e-05,6.436006738779e-01,-1.679707508524e-02,-9.135840196438e-07,-4.279902486466e-05,6.268035987927e-01,2.997477089721e-01,2.261472086639e+00,3.144409036279e-01
1.639992845309e-01,-4.844309572021e-04,-5.630890115136e-08,-1.906281868294e-05,3.279985690618e-01,-9.688619144041e-04,-1.126178023027e-07,-3.812563736587e-05,4.857991639376e-01,-8.904367999658e-03,-3.539089101928e-07,-4.292380397985e-05,6.435997588135e-01,-1.683987408491e-02,-5.952000180830e-07,-4.772197059383e-05,6.267598847286e-01,2.997301775812e-01,2.261470799141e+00,3.144400677265e-01
