# theta1,theta2,theta1_dot,theta2_dot
-3.065701806917786598e-03,2.508546257019042969e+01,2.578296698629856110e-05,7.057189941406250000e-05
-3.039918839931488037e-03,2.508553314208984375e+01,6.526708602905273438e-05,-1.907348632812500000e-05
-2.974651753902435303e-03,2.508551406860351562e+01,1.255224924534559250e-04,-3.051757812500000000e-05
-2.849129261448979378e-03,2.508548355102539062e+01,-8.324859663844108582e-05,-3.051757812500000000e-05
-2.932377858087420464e-03,2.508545303344726562e+01,-3.001582808792591095e-05,2.861022949218750000e-05
-2.962393686175346375e-03,2.508548164367675781e+01,1.100334338843822479e-05,-1.335144042968750000e-05
-2.951390342786908150e-03,2.508546829223632812e+01,-4.695518873631954193e-05,7.247924804687500000e-05
-2.998345531523227692e-03,2.508554077148437500e+01,7.413537241518497467e-05,-1.335144042968750000e-05
-2.924210159108042717e-03,2.508552742004394531e+01,-1.126911956816911697e-04,-8.964538574218750000e-05
-3.036901354789733887e-03,2.508543777465820312e+01,1.700813882052898407e-04,4.959106445312500000e-05
-2.866819966584444046e-03,2.508548736572265625e+01,-1.768432557582855225e-04,-7.629394531250000000e-06
-3.043663222342729568e-03,2.508547973632812500e+01,7.478613406419754028e-05,-6.675720214843750000e-05
-2.968877088278532028e-03,2.508541297912597656e+01,-2.014427445828914642e-05,1.316070556640625000e-04
-2.989021362736821175e-03,2.508554458618164062e+01,4.314165562391281128e-05,-4.196166992187500000e-05
-2.945879707112908363e-03,2.508550262451171875e+01,-7.034721784293651581e-05,2.670288085937500000e-05
-3.016226924955844879e-03,2.508552932739257812e+01,3.418000414967536926e-05,-9.155273437500000000e-05
-2.982046920806169510e-03,2.508543777465820312e+01,3.584916703402996063e-05,-1.525878906250000000e-05
-2.946197753772139549e-03,2.508542251586914062e+01,2.071936614811420441e-05,6.484985351562500000e-05
-2.925478387624025345e-03,2.508548736572265625e+01,-5.381926894187927246e-05,-7.820129394531250000e-05
-2.979297656565904617e-03,2.508540916442871094e+01,-4.989397712051868439e-05,1.163482666015625000e-04
-3.029191633686423302e-03,2.508552551269531250e+01,3.302865661680698395e-05,-3.051757812500000000e-05
-2.996162977069616318e-03,2.508549499511718750e+01,2.922001294791698456e-05,1.525878906250000000e-04
-2.966942964121699333e-03,2.508564758300781250e+01,-2.657249569892883301e-05,7.228851318359375000e-04
-2.993515459820628166e-03,2.508637046813964844e+01,1.007854007184505463e-04,9.574890136718750000e-04
-2.892730059102177620e-03,2.508732795715332031e+01,2.178386785089969635e-05,1.298904418945312500e-03
-2.870946191251277924e-03,2.508862686157226562e+01,1.547259744256734848e-04,9.250640869140625000e-04
-2.716220216825604439e-03,2.508955192565917969e+01,2.002236433327198029e-04,1.016616821289062500e-03
-2.515996573492884636e-03,2.509056854248046875e+01,2.339393831789493561e-04,6.904602050781250000e-04
-2.282057190313935280e-03,2.509125900268554688e+01,2.250166144222021103e-04,7.476806640625000000e-04
-2.057040575891733170e-03,2.509200668334960938e+01,2.261102199554443359e-04,7.095336914062500000e-04
-1.830930355936288834e-03,2.509271621704101562e+01,3.038995200768113136e-04,4.138946533203125000e-04
-1.527030835859477520e-03,2.509313011169433594e+01,2.996193943545222282e-04,1.869201660156250000e-04
-1.227411441504955292e-03,2.509331703186035156e+01,2.173165557906031609e-04,1.640319824218750000e-04
-1.010094885714352131e-03,2.509348106384277344e+01,2.017490332946181297e-04,1.792907714843750000e-04
-8.083458524197340012e-04,2.509366035461425781e+01,1.566865830682218075e-04,2.632141113281250000e-04
-6.516592693515121937e-04,2.509392356872558594e+01,3.196406178176403046e-04,1.583099365234375000e-04
-3.320186515338718891e-04,2.509408187866210938e+01,-6.584916263818740845e-05,7.629394531250000000e-05
-3.978678141720592976e-04,2.509415817260742188e+01,1.291054068133234978e-04,-7.438659667968750000e-05
-2.687624073587357998e-04,2.509408378601074219e+01,3.223355452064424753e-05,1.335144042968750000e-05
-2.365288528380915523e-04,2.509409713745117188e+01,1.636086381040513515e-06,-4.577636718750000000e-05
-2.348927664570510387e-04,2.509405136108398438e+01,-2.969408524222671986e-05,-7.629394531250000000e-06
-2.645868516992777586e-04,2.509404373168945312e+01,-2.998553100042045116e-05,8.010864257812500000e-05
-2.945723826996982098e-04,2.509412384033203125e+01,-5.873382906429469585e-05,-7.057189941406250000e-05
-3.533062117639929056e-04,2.509405326843261719e+01,1.501152291893959045e-05,5.531311035156250000e-05
-3.382946888450533152e-04,2.509410858154296875e+01,-2.188155485782772303e-04,4.577636718750000000e-05
-5.571102374233305454e-04,2.509415435791015625e+01,-1.687816693447530270e-04,2.288818359375000000e-05
-7.258919067680835724e-04,2.509417724609375000e+01,-1.480302307754755020e-04,-1.144409179687500000e-05
-8.739221375435590744e-04,2.509416580200195312e+01,-1.333839027211070061e-04,3.051757812500000000e-05
-1.007306040264666080e-03,2.509419631958007812e+01,-3.070672973990440369e-04,-1.525878906250000000e-04
-1.314373337663710117e-03,2.509404373168945312e+01,-3.193033626303076744e-04,8.583068847656250000e-05
-1.633676700294017792e-03,2.509412956237792969e+01,-2.298082690685987473e-04,2.479553222656250000e-05
-1.863484969362616539e-03,2.509415435791015625e+01,-2.994057722389698029e-04,1.983642578125000000e-04
-2.162890741601586342e-03,2.509435272216796875e+01,-8.989078924059867859e-05,1.792907714843750000e-04
-2.252781530842185020e-03,2.509453201293945312e+01,-5.083694122731685638e-05,-5.912780761718750000e-05
-2.303618472069501877e-03,2.509447288513183594e+01,6.912252865731716156e-05,6.294250488281250000e-05
-2.234495943412184715e-03,2.509453582763671875e+01,1.044613309204578400e-04,5.722045898437500000e-05
-2.130034612491726875e-03,2.509459304809570312e+01,7.552513852715492249e-05,8.392333984375000000e-05
-2.054509473964571953e-03,2.509467697143554688e+01,2.838578075170516968e-05,1.735687255859375000e-04
-2.026123693212866783e-03,2.509485054016113281e+01,1.208824105560779572e-04,8.583068847656250000e-05
-1.905241282656788826e-03,2.509493637084960938e+01,6.942660547792911530e-06,-2.288818359375000000e-05
-1.898298622108995914e-03,2.509491348266601562e+01,2.102031139656901360e-04,-4.005432128906250000e-05
-1.688095508143305779e-03,2.509487342834472656e+01,1.648056786507368088e-05,1.544952392578125000e-04
-1.671614940278232098e-03,2.509502792358398438e+01,6.436323747038841248e-05,3.623962402343750000e-04
-1.607251702807843685e-03,2.509539031982421875e+01,6.504263728857040405e-05,3.757476806640625000e-04
-1.542209065519273281e-03,2.509576606750488281e+01,-5.825085099786520004e-05,5.321502685546875000e-04
-1.600459916517138481e-03,2.509629821777343750e+01,6.042257882654666901e-05,6.542205810546875000e-04
-1.540037337690591812e-03,2.509695243835449219e+01,6.338965613394975662e-05,7.495880126953125000e-04
