theta_0,theta_1,gt_x,gt_y,frame0_00,frame0_01,frame0_02,frame0_10,frame0_11,frame0_12,frame0_20,frame0_21,frame0_22,frame1_00,frame1_01,frame1_02,frame1_10,frame1_11,frame1_12,frame1_20,frame1_21,frame1_22,frame2_00,frame2_01,frame2_02,frame2_10,frame2_11,frame2_12,frame2_20,frame2_21,frame2_22,frame3_00,frame3_01,frame3_02,frame3_10,frame3_11,frame3_12,frame3_20,frame3_21,frame3_22
-0.0030401435,25.0854701996,0.9494913223,-0.0217880566,0.9999953788,0.0030401388,0.0000000000,-0.0030401388,0.9999953788,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999953788,0.0030401388,0.5499974583,-0.0030401388,0.9999953788,-0.0016720764,0.0000000000,0.0000000000,1.0000000000,0.9987346599,0.0502899506,0.5499974583,-0.0502899506,0.9987346599,-0.0016720764,0.0000000000,0.0000000000,1.0000000000,0.9987346599,0.0502899506,0.9494913223,-0.0502899506,0.9987346599,-0.0217880566,0.0000000000,0.0000000000,1.0000000000
-0.0030659642,25.0854854584,0.9494910664,-0.0218064773,0.9999952999,0.0030659594,0.0000000000,-0.0030659594,0.9999952999,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999952999,0.0030659594,0.5499974150,-0.0030659594,0.9999952999,-0.0016862777,0.0000000000,0.0000000000,1.0000000000,0.9987341287,0.0503004991,0.5499974150,-0.0503004991,0.9987341287,-0.0016862777,0.0000000000,0.0000000000,1.0000000000,0.9987341287,0.0503004991,0.9494910664,-0.0503004991,0.9987341287,-0.0218064773,0.0000000000,0.0000000000,1.0000000000
-0.0029739484,25.0854644775,0.9494926475,-0.0217274908,0.9999955778,0.0029739440,0.0000000000,-0.0029739440,0.9999955778,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999955778,0.0029739440,0.5499975678,-0.0029739440,0.9999955778,-0.0016356692,0.0000000000,0.0000000000,1.0000000000,0.9987376993,0.0502295539,0.5499975678,-0.0502295539,0.9987376993,-0.0016356692,0.0000000000,0.0000000000,1.0000000000,0.9987376993,0.0502295539,0.9494926475,-0.0502295539,0.9987376993,-0.0217274908,0.0000000000,0.0000000000,1.0000000000
-0.0029446986,25.0855407715,0.9494948135,-0.0216692391,0.9999956644,0.0029446943,0.0000000000,-0.0029446943,0.9999956644,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956644,0.0029446943,0.5499976154,-0.0029446943,0.9999956644,-0.0016195819,0.0000000000,0.0000000000,1.0000000000,0.9987429951,0.0501241431,0.5499976154,-0.0501241431,0.9987429951,-0.0016195819,0.0000000000,0.0000000000,1.0000000000,0.9987429951,0.0501241431,0.9494948135,-0.0501241431,0.9987429951,-0.0216692391,0.0000000000,0.0000000000,1.0000000000
-0.0029639658,25.0854454041,0.9494924811,-0.0217256321,0.9999956075,0.0029639614,0.0000000000,-0.0029639614,0.9999956075,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956075,0.0029639614,0.5499975841,-0.0029639614,0.9999956075,-0.0016301788,0.0000000000,0.0000000000,1.0000000000,0.9987372426,0.0502386333,0.5499975841,-0.0502386333,0.9987372426,-0.0016301788,0.0000000000,0.0000000000,1.0000000000,0.9987372426,0.0502386333,0.9494924811,-0.0502386333,0.9987372426,-0.0217256321,0.0000000000,0.0000000000,1.0000000000
-0.0030881886,25.0854625702,0.9494901207,-0.0218367228,0.9999952315,0.0030881837,0.0000000000,-0.0030881837,0.9999952315,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999952315,0.0030881837,0.5499973774,-0.0030881837,0.9999952315,-0.0016985010,0.0000000000,0.0000000000,1.0000000000,0.9987318585,0.0503455546,0.5499973774,-0.0503455546,0.9987318585,-0.0016985010,0.0000000000,0.0000000000,1.0000000000,0.9987318585,0.0503455546,0.9494901207,-0.0503455546,0.9987318585,-0.0218367228,0.0000000000,0.0000000000,1.0000000000
-0.0029385455,25.0855598450,0.9494953291,-0.0216557771,0.9999956825,0.0029385413,0.0000000000,-0.0029385413,0.9999956825,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956825,0.0029385413,0.5499976254,-0.0029385413,0.9999956825,-0.0016161977,0.0000000000,0.0000000000,1.0000000000,0.9987442592,0.0500989483,0.5499976254,-0.0500989483,0.9987442592,-0.0016161977,0.0000000000,0.0000000000,1.0000000000,0.9987442592,0.0500989483,0.9494953291,-0.0500989483,0.9987442592,-0.0216557771,0.0000000000,0.0000000000,1.0000000000
-0.0029588428,25.0854721069,0.9494931288,-0.0217101002,0.9999956226,0.0029588385,0.0000000000,-0.0029588385,0.9999956226,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956226,0.0029588385,0.5499975924,-0.0029588385,0.9999956226,-0.0016273612,0.0000000000,0.0000000000,1.0000000000,0.9987388410,0.0502068476,0.5499975924,-0.0502068476,0.9987388410,-0.0016273612,0.0000000000,0.0000000000,1.0000000000,0.9987388410,0.0502068476,0.9494931288,-0.0502068476,0.9987388410,-0.0217101002,0.0000000000,0.0000000000,1.0000000000
-0.0029452655,25.0855140686,0.9494942656,-0.0216804451,0.9999956627,0.0029452612,0.0000000000,-0.0029452612,0.9999956627,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956627,0.0029452612,0.5499976145,-0.0029452612,0.9999956627,-0.0016198937,0.0000000000,0.0000000000,1.0000000000,0.9987416279,0.0501513787,0.5499976145,-0.0501513787,0.9987416279,-0.0016198937,0.0000000000,0.0000000000,1.0000000000,0.9987416279,0.0501513787,0.9494942656,-0.0501513787,0.9987416279,-0.0216804451,0.0000000000,0.0000000000,1.0000000000
-0.0028677688,25.0854167938,0.9494939927,-0.0216457234,0.9999958880,0.0028677648,0.0000000000,-0.0028677648,0.9999958880,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999958880,0.0028677648,0.5499977384,-0.0028677648,0.9999958880,-0.0015772707,0.0000000000,0.0000000000,1.0000000000,0.9987406358,0.0501711318,0.5499977384,-0.0501711318,0.9987406358,-0.0015772707,0.0000000000,0.0000000000,1.0000000000,0.9987406358,0.0501711318,0.9494939927,-0.0501711318,0.9987406358,-0.0216457234,0.0000000000,0.0000000000,1.0000000000
